acl 2.3.1-2
nvidia-open-dkms 525.78.01-7
nvidia-utils 525.78.01-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-2
openssh 9.1p1-3
openssl 3.0.7-4
opus 1.3.1-3
orc 0.4.33-1
os-prober 1.81-1
ostree 2022.7-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20221204-1
pahole 1:1.24-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
papirus-icon-theme 20230104-1
paru-bin 1.11.2-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.40-3
pcsclite 1.9.9-2
perl 5.36.0-3
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
pinentry 1.2.1-1
pipewire 1:0.3.63-4
pipewire-alsa 1:0.3.63-4
pipewire-audio 1:0.3.63-4
pipewire-jack 1:0.3.63-4
pipewire-pulse 1:0.3.63-4
pixman 0.42.2-1
pkgconf 1.8.0-1
polkit 122-1
polkit-kde-agent 5.26.5-1
polkit-qt5 0.114.0-1
poppler 23.01.0-3
poppler-glib 23.01.0-3
popt 1.19-1
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
psmisc 23.6-1
python 3.10.9-1
python-attrs 22.2.0-1
python-build 0.9.0-1
python-clickgen 2.1.3-1
python-exceptiongroup 1.1.0-1
python-hypothesis 6.59.0-1
python-iniconfig 1.1.1-5
python-installer 0.6.0-1
python-numpy 1.23.5-1
python-packaging 21.3-1
python-pep517 0.13.0-1
python-pillow 9.4.0-2
python-pluggy 1.0.0-1
python-pycodestyle 2.10.0-1
python-pyparsing 3.0.9-1
python-pytest 7.2.0-4
python-sortedcontainers 2.4.0-3
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-wheel 0.38.4-1
qpdf 11.2.0-1
qrencode 4.1.1-2
qt5-base 5.15.7+kde+r177-1
qt5-declarative 5.15.7+kde+r25-1
qt5-quickcontrols 5.15.7-1
qt5-svg 5.15.7+kde+r9-1
qt5-tools 5.15.7+kde+r1-2
qt5-translations 5.15.7-1
qt5-wayland 5.15.7+kde+r58-1
qt5-x11extras 5.15.7-1
qt5ct 1.5-2
qt6-base 6.4.1-1
qt6-declarative 6.4.1-1
qt6-translations 6.4.1-1
qt6-wayland 6.4.1-1
raptor 2.0.15-21
rav1e 0.6.2-1
readline 8.2.001-1
rhash 1.4.3-1
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
rustup 1.25.1-2
sane 1.1.1-2
sbc 2.0-1
scdoc 1.11.2-4
sddm 0.19.0-9
sddm-config-editor-git 0.1.r89.g24cb417-1
sdl2 2.26.2-1
seatd 0.7.0-2
sed 4.9-1
serd 0.30.16-1
shadow 4.13-1
shared-mime-info 2.0+155+gf4e7cbc-1
simple-scan 42.5-1
slang 2.3.3-2
slurp 1.4.0-1
sndio 1.9.0-1
socat 1.7.4.4-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
source-highlight 3.1.9-9
spandsp 0.0.6-4
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.40.1-1
sratom 0.6.14-1
srt 1.5.1-3
sudo 1.9.12.p1-1
svt-av1 1.4.1-1
svt-hevc 1.5.1-2
swayidle 1.8.0-1
swaylock 1.7-1
sysfsutils 2.1.1-1
systemd 252.4-2
systemd-libs 252.4-2
systemd-sysvcompat 252.4-2
tar 1.34-1
tdb 1.4.7-1
texinfo 7.0.1-1
tpm2-tss 3.2.0-3
tracker3 3.4.2-1
transmission-cli 3.00-6
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-firacode-nerd 2.2.2-2
ttf-google-sans 1-2
ttf-liberation 2.1.5-1
ttf-times-new-roman 2.0-3
tzdata 2022g-1
unibilium 2.1.1-1
unzip 6.0-19
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 9.0.1046-1
vim-runtime 9.0.1046-1
visual-studio-code-bin 1.74.2-1
vmaf 2.3.1-1
vulkan-headers 1:1.3.235-1
vulkan-icd-loader 1.3.235-1
vulkan-validation-layers 1.3.231.1-1
wayland 1.21.0-2
wayland-protocols 1.31-1
webrtc-audio-processing 0.3.1-3
wev 1.0.0-7
wf-recorder 0.3.0-2
which 2.21-5
wildmidi 0.4.4-1
wireplumber 0.4.13-1
wl-clipboard 1:2.1.0-2
wlr-randr 0.2.0-2
wofi 1.3-2
wofi-calc 1.1-3
wpa_supplicant 2:2.10-8
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xarchiver 0.5.4.20-1
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-1
xdg-desktop-portal-hyprland-git r249.e47f4ce-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.2.1-1
xf86-video-nouveau 1.0.17-2
xkeyboard-config 2.37-1
xorg-font-util 1.3.3-1
xorg-fonts-encodings 1.0.6-1
xorg-server 21.1.6-1
xorg-server-common 21.1.6-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xset 1.2.5-1
xorg-xwayland 22.1.7-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xz 5.4.0-1
ydotool 1.0.1-3
zbar 0.23.90-1
zeromq 4.3.4-2
zimg 3.0.4-1
zlib 1:1.2.13-2
zsh 5.9-2
zstd 1.5.2-7
zvbi 0.2.39-1
zxing-cpp 1.4.0-1
